Artist, Album, Track 
Paul McCartney,One Hand Clapping,One Hand Clapping - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,Jet - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,Soily - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,C Moon/Little Woman Love - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,Maybe I’m Amazed - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,My Love - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,Bluebird - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,Let’s Love - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,All Of You - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,I’ll Give You A Ring - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,Band On The Run - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,Live And Let Die - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,Nineteen Hundred And Eighty Five - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,Baby Face - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,Let Me Roll It - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,Blue Moon Of Kentucky - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,Power Cut - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,Love My Baby - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,Let It Be - One Hand Clapping Sessions
Paul McCartney,One Hand Clapping,The Long and Winding Road/Lady Madonna - One Hand Clapping Sessions
Paul McCartney,Band On The Run (Underdubbed Mixes),Band On The Run - Underdubbed Mix
Paul McCartney,Band On The Run (Underdubbed Mixes),Mamunia - Underdubbed Mix
Paul McCartney,Band On The Run (Underdubbed Mixes),No Words - Underdubbed Mix
Paul McCartney,Band On The Run (Underdubbed Mixes),Jet - Underdubbed Mix
Paul McCartney,Band On The Run (Underdubbed Mixes),Bluebird - Underdubbed Mix
Paul McCartney,Band On The Run (Underdubbed Mixes),Mrs. Vandebilt - Underdubbed Mix
Paul McCartney,Band On The Run (Underdubbed Mixes),Nineteen Hundred And Eighty Five - Underdubbed Mix
Paul McCartney,Band On The Run (Underdubbed Mixes),Picasso’s Last Words (Drink to Me) - Underdubbed Mix
Paul McCartney,Band On The Run (Underdubbed Mixes),Let Me Roll It - Underdubbed Mix
Paul McCartney,McCartney III Imagined,Find My Way (feat. Beck)
Paul McCartney,McCartney III Imagined,The Kiss Of Venus (Dominic Fike)
Paul McCartney,McCartney III Imagined,Pretty Boys (feat. Khruangbin)
Paul McCartney,McCartney III Imagined,Women And Wives - St. Vincent Remix
Paul McCartney,McCartney III Imagined,Deep Down - Blood Orange Remix
Paul McCartney,McCartney III Imagined,Seize The Day (feat. Phoebe Bridgers)
Paul McCartney,McCartney III Imagined,Slidin' - EOB Remix
Paul McCartney,McCartney III Imagined,Long Tailed Winter Bird - Damon Albarn Remix
Paul McCartney,McCartney III Imagined,Lavatory Lil (Josh Homme)
Paul McCartney,McCartney III Imagined,When Winter Comes - Anderson .Paak Remix
Paul McCartney,McCartney III Imagined,Deep Deep Feeling - 3D Remix
Paul McCartney,McCartney III,Long Tailed Winter Bird
Paul McCartney,McCartney III,Find My Way
Paul McCartney,McCartney III,Pretty Boys
Paul McCartney,McCartney III,Women And Wives
Paul McCartney,McCartney III,Lavatory Lil
Paul McCartney,McCartney III,Deep Deep Feeling
Paul McCartney,McCartney III,Slidin’
Paul McCartney,McCartney III,The Kiss Of Venus
Paul McCartney,McCartney III,Seize The Day
Paul McCartney,McCartney III,Deep Down
Paul McCartney,McCartney III,Winter Bird / When Winter Comes
Paul McCartney,Flaming Pie (Archive Collection),The Song We Were Singing - 2020 Remaster
Paul McCartney,Flaming Pie (Archive Collection),The World Tonight - 2020 Remaster
Paul McCartney,Flaming Pie (Archive Collection),If You Wanna - 2020 Remaster
